genre,question,answer,a,b,c,d
animals,Three of these animals hibernate. Which one does not?,1,Mouse,Sloth,Frog,Snake
animals,All of these animals are omnivorous except one.,3,Fox,Mouse,Opossum,Snail
animals,Three of these Latin names are names of bears. Which is the odd one?,3,Melursus ursinus,Helarctos malayanus,Ursus minimus,Felis silvestris catus
animals,These are typical Australian animals except one.,3,Platypus,Dingo,Echidna,Sloth
animals,Representatives of three of these species produce venom of their own. Which is the odd species?,3,Lizards,Scorpions,Frogs,Mosquitos
animals,Three of these species shed their skin. Which one does not?,0,Penguins,Snakes,Insects,Crustaceans
animals,All of these animals have large ears (relative to their size) except one.,0,Polar bears,Foxes,Bats,Elephants
animals,This percentage of all snakes on Earth are lethal to humans.,2,10%,20%,15%,25%
animals,Snakes are this kind of animals.,2,Herbivorous,Omnivorous,Carnivorous,Vegetarian
animals,Snakes consume their food by means of this process.,2,Breathing,Absorption,Swallowing,Chewing
animals,Snakes belong to the following category.,2,Invertebrates,Lizards,Reptiles,Mammals
animals,A specialist in snakes is called one of these.,2,Pisciculturist,Ornithologist,Ophiologist,Herpetologist
animals,One of the following snakes does not belong to the Viperidae family.,1,Horned adder,Grass snake,Viper,Asp
animals,"Cobras are venomous snakes of family Elapidae, that generally inhabit regions of these two continents.",1,South America and Asia,Asia and Africa,Asia and Australia,South America and Australia
animals,"The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.",3,Balance control,Heat collection from sun rays,Camouflage,More threatening appearance
animals,"The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.",1,Jackal,Mongoose,Lynx,Eagle
animals,This is where the Cobras ribs are situated.,0,Behind its head,"In its chest, around the middle of the body",Cobras have no ribs,In its tale
animals,A baby cobra is fully able to defend itself in as little as this many hours after being born.,0,3,12,48,72
animals,What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?,1,German Shepherd,Cocker Spaniel,Golden Retriever,Welsh Corgy
animals,What was the name of Socks companion at the White House during the Clinton Administration?,0,Buddy,Shoes,Bailey,Buster
animals,Which of these Presidents had the most pets?,1,Franklin Delano Roosevelt,Theodore Roosevelt,Bill Clinton,Woodrow Wilson
animals,What breed is known as the favourite breed of Queen Elizabeth II?,2,Border Collie,Old English Sheepdog,Welsh Corgi,Australian Cattle Dog
animals,What was the name of Fraisers fathers dog on the hit TV show set in Seattle?,2,Niles,Marty,Eddie,Skip
animals,Which one of these sea mammals is not in the endangered species lists?,1,Fin Whale,Pilot whale,Blue Whale,Humpback Whale
animals,"This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).",0,Leatherback Sea Turtle,Kemps Ridley Turtle,Hawksbill Sea Turtle,Mesoamerican River Turtle
animals,Name the rarest and most endangered of all wolves.,0,Red Wolf,Ethiopian Wolf,Black-backed Wolf,Gray Wolf
animals,"This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires.",2,Gorilla,Baboons,Orangutan,Chimpanzee
animals,"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?",2,North America,Central Asia and North America,Central Asia,Europe and North America
animals,"This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world.",1,Ganges River Dolphin,Chinese River Dolphin,La Plata Dolphin,Amazon River Dolphin
animals,"This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.",3,Cape Fox,Red Fox,Bengal Fox,Fennec
animals,"Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?",1,North America,Australia,Africa,Asia
animals,Which of these animals swims the fastest?,2,Flounder,Shark,Dolphin,Jellyfish
animals,Which word refers to the sound peacocks make?,0,Scream,Squill,Squeak,Squall
animals,Ancient Japanese thought this animal caused earthquakes.,1,Birds,Spiders,Snakes,Frogs
animals,How many types of bats are there?,0,900,700,500,200
animals,This animal can clean its own ears with its 21-inch tongue.,3,Lizard,Elephant,Lion,Giraffe
animals,What is the fastest animal on 6 legs?,1,Ladybug,Cockroach,Beetle,Ant
animals,What is a female sheep called or known as?,0,ewe,colt,fleece,ram
